ID_Partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
1,IA_facil,19,Derrota,6,Si
1,IA_medio,21,Empate,8,Si
1,IA_dificil,21,Empate,5,Si
2,IA_facil,21,Victoria,4,Si
2,IA_medio,22,Derrota,8,Si
2,IA_dificil,24,Derrota,9,Si
3,IA_facil,19,Derrota,5,Si
3,IA_medio,19,Derrota,6,Si
3,IA_dificil,20,Victoria,5,Si
4,IA_facil,20,Victoria,6,Si
4,IA_medio,17,Derrota,4,Si
4,IA_dificil,17,Derrota,4,Si
5,IA_facil,20,Empate,5,Si
5,IA_medio,25,Derrota,5,Si
5,IA_dificil,20,Empate,7,Si
6,IA_facil,19,Derrota,5,Si
6,IA_medio,17,Derrota,5,Si
6,IA_dificil,20,Victoria,7,Si
7,IA_facil,19,Derrota,6,Si
7,IA_medio,17,Derrota,6,Si
7,IA_dificil,20,Victoria,7,Si
8,IA_facil,20,Empate,6,Si
8,IA_medio,20,Empate,7,Si
8,IA_dificil,19,Derrota,5,Si
9,IA_facil,21,Victoria,6,Si
9,IA_medio,24,Derrota,6,Si
9,IA_dificil,18,Derrota,4,Si
10,IA_facil,22,Derrota,6,Si
10,IA_medio,22,Derrota,6,Si
10,IA_dificil,21,Victoria,6,Si
11,IA_facil,17,Derrota,5,Si
11,IA_medio,24,Derrota,5,Si
11,IA_dificil,20,Victoria,6,Si
12,IA_facil,20,Empate,7,Si
12,IA_medio,22,Derrota,10,Si
12,IA_dificil,20,Empate,5,Si
13,IA_facil,18,Derrota,4,Si
13,IA_medio,18,Derrota,5,Si
13,IA_dificil,19,Victoria,5,Si
14,IA_facil,22,Derrota,7,Si
14,IA_medio,18,Derrota,5,Si
14,IA_dificil,19,Victoria,5,Si
15,IA_facil,18,Derrota,4,Si
15,IA_medio,17,Derrota,6,Si
15,IA_dificil,21,Victoria,4,Si
16,IA_facil,22,Derrota,5,Si
16,IA_medio,23,Derrota,8,Si
16,IA_dificil,17,Victoria,7,Si
17,IA_facil,17,Derrota,5,Si
17,IA_medio,20,Derrota,6,Si
17,IA_dificil,21,Victoria,5,Si
18,IA_facil,17,Derrota,6,Si
18,IA_medio,21,Victoria,5,Si
18,IA_dificil,18,Derrota,6,Si
19,IA_facil,17,Derrota,6,Si
19,IA_medio,18,Victoria,7,Si
19,IA_dificil,17,Derrota,6,Si
20,IA_facil,17,Victoria,6,Si
20,IA_medio,23,Derrota,6,Si
20,IA_dificil,23,Derrota,4,Si
21,IA_facil,19,Empate,6,Si
21,IA_medio,22,Derrota,8,Si
21,IA_dificil,19,Empate,4,Si
22,IA_facil,21,Victoria,5,Si
22,IA_medio,25,Derrota,6,Si
22,IA_dificil,18,Derrota,6,Si
23,IA_facil,17,Empate,5,Si
23,IA_medio,17,Empate,5,Si
23,IA_dificil,22,Derrota,7,Si
24,IA_facil,22,Derrota,6,Si
24,IA_medio,17,Derrota,6,Si
24,IA_dificil,21,Victoria,6,Si
25,IA_facil,17,Derrota,5,Si
25,IA_medio,18,Derrota,5,Si
25,IA_dificil,21,Victoria,8,Si
26,IA_facil,20,Derrota,6,Si
26,IA_medio,20,Derrota,7,Si
26,IA_dificil,21,Victoria,5,Si
27,IA_facil,18,Derrota,6,Si
27,IA_medio,17,Derrota,4,Si
27,IA_dificil,19,Victoria,6,Si
28,IA_facil,22,Derrota,6,Si
28,IA_medio,17,Derrota,4,Si
28,IA_dificil,19,Victoria,4,Si
29,IA_facil,19,Derrota,6,Si
29,IA_medio,17,Derrota,6,Si
29,IA_dificil,20,Victoria,6,Si
30,IA_facil,19,Victoria,5,Si
30,IA_medio,22,Derrota,4,Si
30,IA_dificil,24,Derrota,7,Si
31,IA_facil,19,Derrota,7,Si
31,IA_medio,20,Derrota,4,Si
31,IA_dificil,21,Victoria,4,Si
32,IA_facil,21,Victoria,5,Si
32,IA_medio,18,Derrota,5,Si
32,IA_dificil,17,Derrota,6,Si
33,IA_facil,17,Derrota,5,Si
33,IA_medio,21,Victoria,6,Si
33,IA_dificil,20,Derrota,7,Si
34,IA_facil,17,Empate,5,Si
34,IA_medio,23,Derrota,6,Si
34,IA_dificil,17,Empate,4,Si
35,IA_facil,19,Derrota,5,Si
35,IA_medio,21,Victoria,6,Si
35,IA_dificil,20,Derrota,5,Si
36,IA_facil,18,Victoria,4,Si
36,IA_medio,23,Derrota,5,Si
36,IA_dificil,17,Derrota,5,Si
37,IA_facil,17,Victoria,5,Si
37,IA_medio,22,Derrota,4,Si
37,IA_dificil,23,Derrota,7,Si
38,IA_facil,18,Victoria,5,Si
38,IA_medio,17,Derrota,5,Si
38,IA_dificil,17,Derrota,4,Si
39,IA_facil,17,Derrota,4,Si
39,IA_medio,20,Victoria,6,Si
39,IA_dificil,19,Derrota,8,Si
40,IA_facil,18,Derrota,5,Si
40,IA_medio,21,Victoria,5,Si
40,IA_dificil,17,Derrota,7,Si
41,IA_facil,21,Victoria,6,Si
41,IA_medio,19,Derrota,4,Si
41,IA_dificil,19,Derrota,5,Si
42,IA_facil,17,Derrota,8,Si
42,IA_medio,20,Victoria,5,Si
42,IA_dificil,19,Derrota,5,Si
43,IA_facil,17,Derrota,4,Si
43,IA_medio,21,Victoria,4,Si
43,IA_dificil,20,Derrota,5,Si
44,IA_facil,18,Derrota,5,Si
44,IA_medio,20,Derrota,5,Si
44,IA_dificil,21,Victoria,5,Si
45,IA_facil,17,Derrota,3,Si
45,IA_medio,24,Derrota,5,Si
45,IA_dificil,20,Victoria,8,Si
46,IA_facil,22,Derrota,4,Si
46,IA_medio,20,Victoria,6,Si
46,IA_dificil,17,Derrota,6,Si
47,IA_facil,18,Derrota,6,Si
47,IA_medio,19,Derrota,6,Si
47,IA_dificil,21,Victoria,7,Si
48,IA_facil,19,Derrota,5,Si
48,IA_medio,17,Derrota,6,Si
48,IA_dificil,20,Victoria,8,Si
49,IA_facil,17,Derrota,4,Si
49,IA_medio,17,Derrota,5,Si
49,IA_dificil,21,Victoria,6,Si
50,IA_facil,20,Victoria,5,Si
50,IA_medio,22,Derrota,4,Si
50,IA_dificil,22,Derrota,5,Si
51,IA_facil,19,Derrota,5,Si
51,IA_medio,18,Derrota,7,Si
51,IA_dificil,21,Victoria,8,Si
52,IA_facil,19,Derrota,5,Si
52,IA_medio,23,Derrota,7,Si
52,IA_dificil,21,Victoria,5,Si
53,IA_facil,18,Derrota,4,Si
53,IA_medio,22,Derrota,7,Si
53,IA_dificil,19,Victoria,4,Si
54,IA_facil,17,Derrota,4,Si
54,IA_medio,17,Derrota,4,Si
54,IA_dificil,20,Victoria,5,Si
55,IA_facil,21,Victoria,6,Si
55,IA_medio,19,Derrota,6,Si
55,IA_dificil,18,Derrota,5,Si
56,IA_facil,21,Victoria,4,Si
56,IA_medio,23,Derrota,5,Si
56,IA_dificil,18,Derrota,7,Si
57,IA_facil,17,Derrota,6,Si
57,IA_medio,23,Derrota,8,Si
57,IA_dificil,20,Victoria,8,Si
58,IA_facil,20,Empate,6,Si
58,IA_medio,20,Empate,5,Si
58,IA_dificil,22,Derrota,7,Si
59,IA_facil,18,Empate,6,Si
59,IA_medio,18,Empate,7,Si
59,IA_dificil,17,Derrota,4,Si
60,IA_facil,21,Empate,4,Si
60,IA_medio,21,Empate,4,Si
